Package,Current,Wanted,Latest,"MayHaveBreakingChanges
"
@date-io/date-fns,1.3.13,1.3.13,3.0.0,"Yes
"
@emotion/react,11.11.1,11.11.4,11.11.4,"No
"
@growthbook/growthbook-react,0.16.0,0.16.0,0.26.0,"Yes
"
@mui/icons-material,5.14.15,5.15.14,5.15.14,"No
"
@mui/lab,5.0.0-alpha.150,5.0.0-alpha.169,5.0.0-alpha.169,"No
"
@mui/material,5.14.15,5.15.14,5.15.14,"No
"
@mui/styles,5.14.15,5.15.14,5.15.14,"No
"
@react-google-maps/api,2.19.2,2.19.3,2.19.3,"No
"
@reduxjs/toolkit,1.9.6,1.9.7,2.2.2,"No
"
@sentry/react,5.30.0,5.30.0,7.108.0,"Yes
"
@size-limit/preset-app,8.2.6,8.2.6,11.1.2,"Yes
"
@storybook/addon-actions,6.5.16,6.5.16,8.0.4,"Yes
"
@storybook/addon-essentials,6.5.16,6.5.16,8.0.4,"Yes
"
@storybook/addon-knobs,6.4.0,6.4.0,7.0.2,"Yes
"
@storybook/addon-links,6.5.16,6.5.16,8.0.4,"Yes
"
@storybook/addons,6.5.16,6.5.16,7.6.17,"Yes
"
@storybook/node-logger,6.5.16,6.5.16,8.0.4,"Yes
"
@storybook/preset-create-react-app,3.2.0,3.2.0,8.0.4,"Yes
"
@storybook/react,6.5.16,6.5.16,8.0.4,"Yes
"
@storybook/theming,6.5.16,6.5.16,8.0.4,"Yes
"
@testing-library/jest-dom,5.17.0,5.17.0,6.4.2,"Yes
"
@testing-library/react,12.1.5,12.1.5,14.2.2,"Yes
"
@testing-library/user-event,14.5.1,14.5.2,14.5.2,"No
"
@types/jest,26.0.24,26.0.24,29.5.12,"Yes
"
@types/node,14.18.63,14.18.63,20.11.30,"Yes
"
@types/papaparse,5.3.9,5.3.14,5.3.14,"No
"
@types/react,18.2.24,18.2.69,18.2.69,"No
"
@types/react-big-calendar,0.38.4,0.38.4,1.8.9,"Yes
"
@types/react-dom,18.2.8,18.2.22,18.2.22,"No
"
@types/react-redux,7.1.27,7.1.33,7.1.33,"No
"
@types/react-virtualized-auto-sizer,1.0.1,1.0.4,1.0.4,"No
"
@types/react-window,1.8.6,1.8.8,1.8.8,"No
"
@types/redux-actions,2.6.3,2.6.5,2.6.5,"No
"
@types/redux-logger,3.0.10,3.0.13,3.0.13,"No
"
@types/redux-mock-store,1.0.4,1.0.6,1.0.6,"No
"
@types/testing-library__jest-dom,5.14.9,5.14.9,6.0.0,"Yes
"
@types/toastify-js,1.12.1,1.12.3,1.12.3,"No
"
@types/uuid,8.3.4,8.3.4,9.0.8,"Yes
"
@types/validator,13.11.2,13.11.9,13.11.9,"No
"
acorn,7.4.1,7.4.1,8.11.3,"Yes
"
axios,0.19.2,0.19.2,1.6.8,"Yes
"
build-url,2.0.0,2.0.0,6.0.1,"Yes
"
chart.js,3.9.1,3.9.1,4.4.2,"Yes
"
clsx,1.2.1,1.2.1,2.1.0,"Yes
"
cypress,5.6.0,5.6.0,13.7.1,"Yes
"
date-fns,2.30.0,2.30.0,3.6.0,"Yes
"
dotenv-cli,5.1.0,5.1.0,7.4.1,"Yes
"
firebase,10.4.0,10.9.0,10.9.0,"No
"
fontsource-roboto,3.1.5,3.1.5,4.0.0,"Yes
"
google-auth-library,8.9.0,8.9.0,9.7.0,"Yes
"
googleapis,114.0.0,114.0.0,134.0.0,"Yes
"
husky,7.0.4,7.0.4,9.0.11,"Yes
"
i18next,20.6.1,20.6.1,23.10.1,"Yes
"
jest-junit,11.1.0,11.1.0,16.0.0,"Yes
"
libphonenumber-js,1.10.45,1.10.58,1.10.58,"No
"
moment,2.29.4,2.30.1,2.30.1,"No
"
react-big-calendar,1.8.4,1.11.2,1.11.2,"No
"
react-chartjs-2,4.3.1,4.3.1,5.2.0,"Yes
"
react-code-blocks,0.0.9-0,0.0.9-0,0.1.6,"Yes
"
react-i18next,11.18.6,11.18.6,14.1.0,"Yes
"
react-material-ui-carousel,2.3.11,2.3.11,3.4.2,"Yes
"
react-otp-input,2.4.0,2.4.0,3.1.1,"Yes
"
react-redux,7.2.9,7.2.9,9.1.0,"Yes
"
react-router-dom,6.16.0,6.22.3,6.22.3,"No
"
react-test-renderer,16.14.0,16.14.0,18.2.0,"Yes
"
react-virtualized-auto-sizer,1.0.20,1.0.24,1.0.24,"No
"
react-window,1.8.9,1.8.10,1.8.10,"No
"
redux,4.2.1,4.2.1,5.0.1,"Yes
"
redux-actions,2.6.5,2.6.5,3.0.0,"Yes
"
redux-saga,1.2.3,1.3.0,1.3.0,"No
"
size-limit,8.2.6,8.2.6,11.1.2,"Yes
"
surge,0.21.7,0.21.7,0.23.1,"Yes
"
swr,1.3.0,1.3.0,2.2.5,"Yes
"
typescript,4.6.4,4.9.5,5.4.3,"No
"
uuid,8.3.2,8.3.2,9.0.1,"Yes
"
