Package,Current,Wanted,Latest,Location,"MayHaveBreakingChanges
"
@date-io/date-fns,1.3.13,1.3.13,3.0.0,node_modules/@date-io/date-fns,"Yes
"
@emotion/react,11.11.1,11.11.4,11.11.4,node_modules/@emotion/react,"No
"
@growthbook/growthbook-react,0.16.0,0.16.0,0.26.0,node_modules/@growthbook/growthbook-react,"Yes
"
@mui/icons-material,5.14.15,5.15.14,5.15.14,node_modules/@mui/icons-material,"No
"
@mui/lab,5.0.0-alpha.150,5.0.0-alpha.169,5.0.0-alpha.169,node_modules/@mui/lab,"No
"
@mui/material,5.14.15,5.15.14,5.15.14,node_modules/@mui/material,"No
"
@mui/styles,5.14.15,5.15.14,5.15.14,node_modules/@mui/styles,"No
"
@react-google-maps/api,2.19.2,2.19.3,2.19.3,node_modules/@react-google-maps/api,"No
"
@reduxjs/toolkit,1.9.6,1.9.7,2.2.2,node_modules/@reduxjs/toolkit,"No
"
@sentry/react,5.30.0,5.30.0,7.108.0,node_modules/@sentry/react,"Yes
"
@size-limit/preset-app,8.2.6,8.2.6,11.1.2,node_modules/@size-limit/preset-app,"Yes
"
@storybook/addon-actions,6.5.16,6.5.16,8.0.4,node_modules/@storybook/addon-actions,"Yes
"
@storybook/addon-essentials,6.5.16,6.5.16,8.0.4,node_modules/@storybook/addon-essentials,"Yes
"
@storybook/addon-knobs,6.4.0,6.4.0,7.0.2,node_modules/@storybook/addon-knobs,"Yes
"
@storybook/addon-links,6.5.16,6.5.16,8.0.4,node_modules/@storybook/addon-links,"Yes
"
@storybook/addons,6.5.16,6.5.16,7.6.17,node_modules/@storybook/addons,"Yes
"
@storybook/node-logger,6.5.16,6.5.16,8.0.4,node_modules/@storybook/node-logger,"Yes
"
@storybook/preset-create-react-app,3.2.0,3.2.0,8.0.4,node_modules/@storybook/preset-create-react-app,"Yes
"
@storybook/react,6.5.16,6.5.16,8.0.4,node_modules/@storybook/react,"Yes
"
@storybook/theming,6.5.16,6.5.16,8.0.4,node_modules/@storybook/theming,"Yes
"
@testing-library/jest-dom,5.17.0,5.17.0,6.4.2,node_modules/@testing-library/jest-dom,"Yes
"
@testing-library/react,12.1.5,12.1.5,14.2.2,node_modules/@testing-library/react,"Yes
"
@testing-library/user-event,14.5.1,14.5.2,14.5.2,node_modules/@testing-library/user-event,"No
"
@types/jest,26.0.24,26.0.24,29.5.12,node_modules/@types/jest,"Yes
"
@types/node,14.18.63,14.18.63,20.11.30,node_modules/@types/node,"Yes
"
@types/papaparse,5.3.9,5.3.14,5.3.14,node_modules/@types/papaparse,"No
"
@types/react,18.2.24,18.2.69,18.2.69,node_modules/@types/react,"No
"
@types/react-big-calendar,0.38.4,0.38.4,1.8.9,node_modules/@types/react-big-calendar,"Yes
"
@types/react-dom,18.2.8,18.2.22,18.2.22,node_modules/@types/react-dom,"No
"
@types/react-redux,7.1.27,7.1.33,7.1.33,node_modules/@types/react-redux,"No
"
@types/react-virtualized-auto-sizer,1.0.1,1.0.4,1.0.4,node_modules/@types/react-virtualized-auto-sizer,"No
"
@types/react-window,1.8.6,1.8.8,1.8.8,node_modules/@types/react-window,"No
"
@types/redux-actions,2.6.3,2.6.5,2.6.5,node_modules/@types/redux-actions,"No
"
@types/redux-logger,3.0.10,3.0.13,3.0.13,node_modules/@types/redux-logger,"No
"
@types/redux-mock-store,1.0.4,1.0.6,1.0.6,node_modules/@types/redux-mock-store,"No
"
@types/testing-library__jest-dom,5.14.9,5.14.9,6.0.0,node_modules/@types/testing-library__jest-dom,"Yes
"
@types/toastify-js,1.12.1,1.12.3,1.12.3,node_modules/@types/toastify-js,"No
"
@types/uuid,8.3.4,8.3.4,9.0.8,node_modules/@types/uuid,"Yes
"
@types/validator,13.11.2,13.11.9,13.11.9,node_modules/@types/validator,"No
"
acorn,7.4.1,7.4.1,8.11.3,node_modules/acorn,"Yes
"
axios,0.19.2,0.19.2,1.6.8,node_modules/axios,"Yes
"
build-url,2.0.0,2.0.0,6.0.1,node_modules/build-url,"Yes
"
chart.js,3.9.1,3.9.1,4.4.2,node_modules/chart.js,"Yes
"
clsx,1.2.1,1.2.1,2.1.0,node_modules/clsx,"Yes
"
cypress,5.6.0,5.6.0,13.7.1,node_modules/cypress,"Yes
"
date-fns,2.30.0,2.30.0,3.6.0,node_modules/date-fns,"Yes
"
dotenv-cli,5.1.0,5.1.0,7.4.1,node_modules/dotenv-cli,"Yes
"
firebase,10.4.0,10.9.0,10.9.0,node_modules/firebase,"No
"
fontsource-roboto,3.1.5,3.1.5,4.0.0,node_modules/fontsource-roboto,"Yes
"
google-auth-library,8.9.0,8.9.0,9.7.0,node_modules/google-auth-library,"Yes
"
googleapis,114.0.0,114.0.0,134.0.0,node_modules/googleapis,"Yes
"
husky,7.0.4,7.0.4,9.0.11,node_modules/husky,"Yes
"
i18next,20.6.1,20.6.1,23.10.1,node_modules/i18next,"Yes
"
jest-junit,11.1.0,11.1.0,16.0.0,node_modules/jest-junit,"Yes
"
libphonenumber-js,1.10.45,1.10.58,1.10.58,node_modules/libphonenumber-js,"No
"
moment,2.29.4,2.30.1,2.30.1,node_modules/moment,"No
"
react-big-calendar,1.8.4,1.11.2,1.11.2,node_modules/react-big-calendar,"No
"
react-chartjs-2,4.3.1,4.3.1,5.2.0,node_modules/react-chartjs-2,"Yes
"
react-code-blocks,0.0.9-0,0.0.9-0,0.1.6,node_modules/react-code-blocks,"Yes
"
react-i18next,11.18.6,11.18.6,14.1.0,node_modules/react-i18next,"Yes
"
react-material-ui-carousel,2.3.11,2.3.11,3.4.2,node_modules/react-material-ui-carousel,"Yes
"
react-otp-input,2.4.0,2.4.0,3.1.1,node_modules/react-otp-input,"Yes
"
react-redux,7.2.9,7.2.9,9.1.0,node_modules/react-redux,"Yes
"
react-router-dom,6.16.0,6.22.3,6.22.3,node_modules/react-router-dom,"No
"
react-test-renderer,16.14.0,16.14.0,18.2.0,node_modules/react-test-renderer,"Yes
"
react-virtualized-auto-sizer,1.0.20,1.0.24,1.0.24,node_modules/react-virtualized-auto-sizer,"No
"
react-window,1.8.9,1.8.10,1.8.10,node_modules/react-window,"No
"
redux,4.2.1,4.2.1,5.0.1,node_modules/redux,"Yes
"
redux-actions,2.6.5,2.6.5,3.0.0,node_modules/redux-actions,"Yes
"
redux-saga,1.2.3,1.3.0,1.3.0,node_modules/redux-saga,"No
"
size-limit,8.2.6,8.2.6,11.1.2,node_modules/size-limit,"Yes
"
surge,0.21.7,0.21.7,0.23.1,node_modules/surge,"Yes
"
swr,1.3.0,1.3.0,2.2.5,node_modules/swr,"Yes
"
typescript,4.6.4,4.9.5,5.4.3,node_modules/typescript,"No
"
uuid,8.3.2,8.3.2,9.0.1,node_modules/uuid,"Yes
"
